rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0173.jpg,69.2,0.5108,0.4775,0.6667,0.36,9,4,False,False
76,frame_0305.jpg,122.0,0.5104,0.6087,0.5,0.28,9,3,False,False
77,frame_0319.jpg,127.6,0.5067,0.6014,0.5,0.28,7,3,False,False
78,frame_0186.jpg,74.4,0.5066,0.5972,0.6667,0.04,11,4,False,False
79,frame_0377.jpg,150.8,0.5039,0.5598,0.6667,0.12,14,4,False,False
80,frame_0125.jpg,50.0,0.5023,0.4167,0.5,0.72,11,3,False,False
81,frame_0112.jpg,44.8,0.5011,0.6223,0.5,0.2,9,3,False,False
82,frame_0217.jpg,86.8,0.4993,0.6386,0.3333,0.4,5,2,False,False
83,frame_0287.jpg,114.8,0.4956,0.4192,0.5,0.68,10,3,False,False
84,frame_0371.jpg,148.4,0.4949,0.6578,0.5,0.08,10,3,False,False
85,frame_0176.jpg,70.4,0.489,0.582,0.5,0.24,10,3,False,False
86,frame_0195.jpg,78.0,0.4887,0.5494,0.5,0.32,5,3,False,False
87,frame_0024.jpg,9.6,0.4875,0.3751,0.3333,1.0,4,2,False,False
88,frame_0209.jpg,83.6,0.4873,0.4867,0.3333,0.72,8,2,False,False
89,frame_0133.jpg,53.2,0.4844,0.5689,0.0,1.0,12,0,False,False
90,frame_0286.jpg,114.4,0.4842,0.5124,0.3333,0.64,11,2,False,False
91,frame_0279.jpg,111.6,0.4836,0.6232,0.3333,0.36,9,2,False,False
92,frame_0315.jpg,126.0,0.4835,0.5189,0.6667,0.12,9,4,False,False
93,frame_0294.jpg,117.6,0.4819,0.4759,0.3333,0.72,12,2,False,False
94,frame_0180.jpg,72.0,0.4813,0.7307,0.3333,0.08,12,2,False,False
95,frame_0318.jpg,127.2,0.4801,0.6643,0.3333,0.24,7,2,False,False
96,frame_0168.jpg,67.2,0.4783,0.6326,0.1667,0.56,8,1,False,False
97,frame_0375.jpg,150.0,0.4778,0.5755,0.5,0.2,12,3,False,False
98,frame_0188.jpg,75.2,0.4773,0.5386,0.6667,0.04,13,4,False,False
99,frame_0385.jpg,154.0,0.4756,0.5711,0.5,0.2,13,3,False,False
100,frame_0321.jpg,128.4,0.4752,0.4704,0.6667,0.2,7,4,False,False
101,frame_0028.jpg,11.2,0.4742,0.3485,0.3333,1.0,7,2,False,False
102,frame_0184.jpg,73.6,0.4708,0.6095,0.5,0.08,6,3,False,False
103,frame_0232.jpg,92.8,0.4705,0.661,0.3333,0.2,12,2,False,False
104,frame_0172.jpg,68.8,0.4694,0.4789,0.5,0.4,8,3,False,False
105,frame_0122.jpg,48.8,0.4683,0.3967,0.5,0.6,10,3,False,False
106,frame_0027.jpg,10.8,0.4676,0.3352,0.3333,1.0,9,2,False,False
107,frame_0025.jpg,10.0,0.4646,0.3293,0.3333,1.0,5,2,False,False
108,frame_0116.jpg,46.4,0.4611,0.5782,0.3333,0.36,10,2,False,False
109,frame_0274.jpg,109.6,0.4593,0.4546,0.6667,0.16,12,4,False,False
110,frame_0277.jpg,110.8,0.4587,0.5054,0.5,0.28,11,3,False,False
111,frame_0175.jpg,70.0,0.4575,0.7029,0.1667,0.28,9,1,False,False
112,frame_0303.jpg,121.2,0.4552,0.4664,0.5,0.36,10,3,False,False
113,frame_0308.jpg,123.2,0.4552,0.5464,0.5,0.16,7,3,False,False
114,frame_0079.jpg,31.6,0.4543,0.4885,0.1667,0.8,8,1,False,False
115,frame_0017.jpg,6.8,0.4521,0.4042,0.1667,1.0,8,1,False,False
116,frame_0111.jpg,44.4,0.4513,0.4386,0.6667,0.16,9,4,False,False
117,frame_0372.jpg,148.8,0.4504,0.4527,0.6667,0.12,10,4,False,False
118,frame_0271.jpg,108.4,0.4488,0.5816,0.5,0.04,14,3,False,False
119,frame_0118.jpg,47.2,0.4479,0.5198,0.3333,0.44,9,2,False,False
120,frame_0304.jpg,121.6,0.4478,0.5676,0.3333,0.32,9,2,False,False
121,frame_0089.jpg,35.6,0.4468,0.5336,0.3333,0.4,8,2,False,False
122,frame_0019.jpg,7.6,0.4465,0.4929,0.0,1.0,4,0,False,False
123,frame_0382.jpg,152.8,0.4458,0.5596,0.5,0.08,11,3,False,False
124,frame_0128.jpg,51.2,0.4446,0.5532,0.0,0.84,6,0,False,False
125,frame_0329.jpg,131.6,0.4421,0.5522,0.5,0.08,14,3,False,False
126,frame_0003.jpg,1.2,0.4417,0.3834,0.1667,1.0,8,1,False,False
127,frame_0231.jpg,92.4,0.4397,0.5154,0.5,0.16,9,3,False,False
128,frame_0398.jpg,159.2,0.4395,0.6829,0.1667,0.24,11,1,False,False
129,frame_0202.jpg,80.8,0.4381,0.4363,0.3333,0.6,4,2,False,False
130,frame_0199.jpg,79.6,0.4374,0.5828,0.1667,0.48,1,1,False,False
131,frame_0016.jpg,6.4,0.4348,0.4696,0.0,1.0,6,0,False,False
132,frame_0376.jpg,150.4,0.4302,0.3963,0.6667,0.16,10,4,False,False
133,frame_0098.jpg,39.2,0.43,0.544,0.5,0.04,8,3,False,False
134,frame_0298.jpg,119.2,0.4288,0.4337,0.3333,0.56,9,2,False,False
135,frame_0127.jpg,50.8,0.425,0.3301,0.3333,0.8,7,2,False,False
136,frame_0325.jpg,130.0,0.4243,0.4325,0.6667,0.04,16,4,False,False
137,frame_0273.jpg,109.2,0.4204,0.4928,0.5,0.12,14,3,False,False
138,frame_0324.jpg,129.6,0.42,0.408,0.6667,0.08,11,4,False,False
139,frame_0169.jpg,67.6,0.4147,0.5214,0.1667,0.52,9,1,False,False
140,frame_0084.jpg,33.6,0.4127,0.3854,0.3333,0.6,13,2,False,False
141,frame_0006.jpg,2.4,0.4122,0.4243,0.0,1.0,4,0,False,False
142,frame_0174.jpg,69.6,0.4113,0.3947,0.5,0.32,8,3,False,False
143,frame_0367.jpg,146.8,0.41,0.5881,0.3333,0.08,17,2,False,False
144,frame_0008.jpg,3.2,0.4093,0.3186,0.1667,1.0,5,1,False,False
145,frame_0189.jpg,75.6,0.4084,0.4848,0.5,0.08,5,3,False,False
146,frame_0322.jpg,128.8,0.4083,0.4527,0.5,0.16,8,3,False,False
147,frame_0220.jpg,88.0,0.4065,0.401,0.5,0.28,6,3,False,False
148,frame_0131.jpg,52.4,0.4059,0.4277,0.0,0.96,11,0,False,False
149,frame_0211.jpg,84.4,0.4055,0.3551,0.3333,0.64,6,2,False,False
150,frame_0332.jpg,132.8,0.4054,0.4948,0.5,0.04,12,3,False,False
151,frame_0106.jpg,42.4,0.4043,0.4926,0.5,0.04,12,3,False,False
152,frame_0114.jpg,45.6,0.4009,0.5898,0.1667,0.28,10,1,False,False
153,frame_0327.jpg,130.8,0.4009,0.4857,0.5,0.04,14,3,False,False
